Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,250.0
relay_connectivity_config,MINIMAL
ew_location,"(10000.0, 0.0)"
ew_power_W,100.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(10000.0, 0.0)"
step_size_m,10.0
max_steps,1000
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v3.csv
EW_JAMMER_ACTUAL_BW_AREA,2

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible
16,160.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
16,160.0,0.0,13,M1,R2,True,4577565.672637421,1000000.0,2,True
16,160.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
16,160.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
16,160.0,0.0,13,R1,S1,True,4545250.269249552,500000.0,2,True
16,160.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
16,160.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
16,160.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
16,160.0,0.0,13,R3,A1,True,4641314.05681759,500000.0,2,True
16,160.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
16,160.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
16,160.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
17,170.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
17,170.0,0.0,13,M1,R2,True,4576115.411746992,1000000.0,2,True
17,170.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
17,170.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
17,170.0,0.0,13,R1,S1,True,4543765.699703414,500000.0,2,True
17,170.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
17,170.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
17,170.0,0.0,13,R2,S4,True,6768677.67382266,500000.0,4,False
17,170.0,0.0,13,R3,A1,True,4639930.8053772105,500000.0,2,True
17,170.0,0.0,13,R3,A2,True,7043863.120225582,500000.0,3,False
17,170.0,0.0,13,R4,A3,True,7830535.74603555,500000.0,1,False
17,170.0,0.0,13,R4,A4,True,6768677.67382266,500000.0,4,False
18,180.0,0.0,13,M1,R1,True,7830535.74603555,1000000.0,1,False
18,180.0,0.0,13,M1,R2,True,4574663.603677994,1000000.0,2,True
18,180.0,0.0,13,M1,R3,True,6768677.673822663,1000000.0,4,False
18,180.0,0.0,13,M1,R4,True,7043863.120225582,1000000.0,3,False
18,180.0,0.0,13,R1,S1,True,4542279.514391546,500000.0,2,True
18,180.0,0.0,13,R1,S2,True,7043863.120225582,500000.0,3,False
18,180.0,0.0,13,R2,S3,True,7830535.74603555,500000.0,1,False
