EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,50,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,40.0,40.0,179.99999999999997,90.00000000000001,240.00000000000003,150.00000000000003,499.9999999999999,400.0000000000001,969.9999999999999,840.0
1,50,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,219.99999999999997,30.000000000000004,810.0,660.0,1080.0,930.0000000000001,2240.0,2030.0000000000005,4349.999999999999,4030.0000000000005
1,50,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,20.0,20.0,80.00000000000001,0.0,110.00000000000001,30.000000000000004,230.00000000000003,140.0,430.00000000000006,340.00000000000006
1,50,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,40.0,5.5901699437494745,180.00000000000003,90.00000000000001,240.00000000000003,150.00000000000003,499.9999999999999,400.0000000000001,969.9999999999999,860.0000000000001
1,50,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,219.99999999999997,60.00000000000001,810.0,680.0000000000001,1080.0,950.0000000000002,2240.0,2060.0,4349.999999999999,4100.000000000001
1,60,MINIMAL,SMALL,False,False,1,False,1531,3,1,20.000000000000004,20.000000000000004,99.99999999999999,0.0,130.0,40.0,279.99999999999994,169.99999999999997,520.0000000000001,419.99999999999994
1,60,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,50.00000000000001,50.00000000000001,219.99999999999997,119.99999999999999,290.0,189.99999999999997,600.0000000000001,489.99999999999994,1160.0000000000002,1040.0
1,60,MINIMAL,LARGE,False,False,1,False,1531,3,3,260.00000000000006,99.99999999999999,970.0000000000001,829.9999999999999,1290.0000000000002,1160.0,2680.0000000000005,2509.9999999999995,5230.0,4979.999999999999
1,60,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,20.000000000000004,20.000000000000004,90.00000000000001,0.0,130.0,29.999999999999996,269.99999999999994,169.99999999999997,520.0000000000001,409.99999999999994
1,60,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,50.00000000000001,50.00000000000001,210.00000000000003,109.99999999999999,290.0,179.99999999999997,600.0000000000001,479.99999999999994,1160.0000000000002,1009.9999999999999
1,60,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,260.00000000000006,40.0,970.0000000000001,789.9999999999999,1290.0000000000002,1119.9999999999998,2680.0000000000005,2440.0,5230.0,4839.999999999999
1,60,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,20.000000000000004,20.000000000000004,90.00000000000001,0.0,130.0,29.999999999999996,269.99999999999994,169.99999999999997,520.0000000000001,409.99999999999994
1,60,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,50.00000000000001,11.18033988749895,219.99999999999997,109.99999999999999,290.0,189.99999999999997,600.0000000000001,489.99999999999994,1160.0000000000002,1029.9999999999998
1,60,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,260.00000000000006,69.99999999999999,970.0000000000001,809.9999999999999,1290.0000000000002,1139.9999999999998,2680.0000000000005,2479.9999999999995,5230.0,4919.999999999999
1,70,MINIMAL,SMALL,False,False,1,False,1531,3,1,30.0,30.0,110.0,0.0,160.0,40.0,320.0,200.0,610.0,490.0
1,70,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,60.0,60.0,260.0,140.0,340.0,220.0,700.0,580.0,1360.0,1220.0
1,70,MINIMAL,LARGE,False,False,1,False,1531,3,3,310.0,110.0,1140.0,970.0,1510.0,1350.0,3130.0,2930.0,6100.0,5810.0
1,70,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,30.0,30.0,110.0,0.0,150.0,40.0,310.0,190.0,600.0,470.0
1,70,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,60.0,60.0,250.0,130.0,330.0,210.0,700.0,560.0,1360.0,1180.0
1,70,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,310.0,50.0,1140.0,930.0,1510.0,1300.0,3130.0,2850.0,6100.0,5650.0
1,70,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,30.0,30.0,110.0,0.0,150.0,40.0,320.0,200.0,610.0,480.0
1,70,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,60.0,11.180339887498949,250.0,130.0,340.0,220.0,700.0,570.0,1360.0,1200.0
1,70,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,310.0,80.0,1140.0,950.0,1510.0,1330.0,3130.0,2890.0,6100.0,5584.5797738057245
1,80,MINIMAL,SMALL,False,False,1,False,1531,3,1,30.0,30.0,130.0,0.0,180.0,50.0,370.0,230.0,700.0,560.0
1,80,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,70.0,70.0,290.0,160.0,390.0,260.0,800.0,660.0,1550.0,1400.0
1,80,MINIMAL,LARGE,False,False,1,False,1531,3,3,350.0,130.0,1300.0,1110.0,1720.0,1540.0,3580.0,3350.0,6980.0,6650.0
1,80,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,30.0,30.0,130.0,0.0,170.0,40.0,360.0,220.0,690.0,540.0
1,80,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,70.0,70.0,290.0,150.0,380.0,240.0,800.0,640.0,1550.0,1350.0
1,80,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,350.0,60.0,1300.0,1060.0,1720.0,1490.0,3580.0,3250.0,6980.0,6460.0
1,80,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,30.0,30.0,130.0,0.0,180.0,50.0,370.0,230.0,690.0,550.0
1,80,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,70.0,16.77050983124842,290.0,150.0,390.0,250.0,800.0,650.0,1550.0,1380.0
1,80,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,350.0,100.0,1300.0,1090.0,1720.0,1520.0,3580.0,3310.0,6980.0,5584.5797738057245
1,90,MINIMAL,SMALL,False,False,1,False,1531,3,1,30.0,30.0,150.00000000000003,10.000000000000002,200.00000000000006,60.00000000000001,420.0,260.00000000000006,790.0000000000001,630.0000000000001
1,90,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,80.0,80.0,330.00000000000006,180.00000000000003,440.00000000000006,290.00000000000006,900.0000000000001,740.0000000000001,1749.9999999999998,1570.0000000000002
1,90,MINIMAL,LARGE,False,False,1,False,1531,3,3,390.0,150.00000000000003,1460.0,1250.0000000000002,1940.0000000000002,1740.0000000000002,4030.0,3770.0000000000005,7860.0,7480.000000000002
1,90,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,30.0,30.0,140.00000000000003,0.0,200.00000000000006,50.000000000000014,400.0000000000001,250.00000000000003,780.0,610.0000000000001
1,90,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,80.0,80.0,320.00000000000006,170.00000000000003,430.00000000000006,270.00000000000006,900.0,720.0000000000001,1749.9999999999998,1520.0000000000005
1,90,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,390.0,60.00000000000001,1460.0,1190.0000000000002,1940.0000000000002,1680.0,4030.0,3660.0000000000005,7860.0,7280.000000000001
1,90,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,30.0,30.0,140.00000000000003,0.0,200.00000000000006,50.000000000000014,410.00000000000006,260.00000000000006,780.0000000000001,620.0000000000001
1,90,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,80.0,16.77050983124842,330.00000000000006,170.00000000000003,440.00000000000006,280.00000000000006,900.0,730.0000000000001,1749.9999999999998,1550.0000000000002
1,90,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,390.0,110.00000000000001,1460.0,1220.0000000000002,1940.0000000000002,1710.0000000000002,4030.0,3720.000000000001,7860.0,5584.5797738057245
1,100,MINIMAL,SMALL,False,False,1,False,1531,3,1,40.0,40.0,160.00000000000003,10.000000000000002,230.00000000000003,60.00000000000001,460.00000000000006,290.00000000000006,880.0000000000001,700.0000000000001
1,100,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,89.99999999999999,89.99999999999999,370.00000000000006,200.00000000000006,490.00000000000006,320.00000000000006,1000.0000000000002,830.0000000000001,1939.9999999999998,1740.0000000000002
1,100,MINIMAL,LARGE,False,False,1,False,1531,3,3,439.99999999999994,160.00000000000003,1629.9999999999998,1390.0000000000002,2160.0,1930.0000000000005,4480.0,4190.000000000001,8740.0,8320.000000000002
1,100,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,40.0,40.0,160.00000000000003,0.0,220.00000000000003,60.00000000000001,450.0000000000001,280.0,869.9999999999999,680.0000000000001
1,100,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,89.99999999999999,89.99999999999999,359.99999999999994,180.00000000000003,480.00000000000006,310.00000000000006,999.9999999999998,800.0000000000002,1939.9999999999998,1690.0000000000002
1,100,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,439.99999999999994,70.0,1629.9999999999998,1320.0,2160.0,1860.0000000000002,4480.0,4070.0000000000005,8740.0,8090.000000000001
1,100,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,40.0,40.0,160.00000000000003,0.0,220.00000000000003,60.00000000000001,460.00000000000006,290.00000000000006,870.0000000000001,690.0000000000001
1,100,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,89.99999999999999,16.77050983124842,360.00000000000006,190.00000000000003,490.00000000000006,310.00000000000006,999.9999999999998,810.0000000000001,1939.9999999999998,1720.0000000000002
1,100,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,439.99999999999994,120.00000000000001,1629.9999999999998,1360.0000000000002,2160.0,1900.0000000000005,4480.0,4140.000000000001,8740.0,5584.5797738057245
1,110,MINIMAL,SMALL,False,False,1,False,1531,3,1,40.00000000000001,40.00000000000001,180.0,9.999999999999998,249.99999999999997,69.99999999999999,509.99999999999994,319.99999999999994,969.9999999999998,769.9999999999999
1,110,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,100.00000000000001,100.00000000000001,409.99999999999994,219.99999999999997,539.9999999999999,349.99999999999994,1100.0000000000002,909.9999999999999,2140.0000000000005,1919.9999999999998
1,110,MINIMAL,LARGE,False,False,1,False,1531,3,3,480.00000000000006,180.0,1790.0,1529.9999999999998,2370.0,2119.9999999999995,4930.000000000001,4610.0,9630.000000000002,9170.0
1,110,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,40.00000000000001,40.00000000000001,170.00000000000003,0.0,239.99999999999997,59.99999999999999,499.99999999999994,309.99999999999994,950.0,749.9999999999999
1,110,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,1,100.00000000000001,100.00000000000001,400.00000000000006,199.99999999999997,530.0000000000001,339.99999999999994,1100.0000000000002,879.9999999999999,2140.0000000000005,1859.9999999999998
1,110,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,480.00000000000006,79.99999999999999,1790.0,1459.9999999999998,2370.0,2049.9999999999995,4930.000000000001,4479.999999999999,9630.000000000002,8909.999999999998
1,110,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,40.00000000000001,40.00000000000001,180.0,0.0,249.99999999999997,69.99999999999999,499.99999999999994,309.99999999999994,950.0,759.9999999999999
1,110,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,2,100.00000000000001,22.360679774997898,400.00000000000006,209.99999999999997,539.9999999999999,349.99999999999994,1100.0000000000002,899.9999999999998,2140.0000000000005,1899.9999999999998
1,110,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,480.00000000000006,129.99999999999997,1790.0,1489.9999999999998,2370.0,2089.9999999999995,4930.000000000001,4550.0,9630.000000000002,5584.579773805725
1,120,MINIMAL,SMALL,False,False,1,False,1531,3,1,50.00000000000001,50.00000000000001,199.99999999999997,10.0,269.99999999999994,80.0,559.9999999999999,350.0,1049.9999999999998,839.9999999999999
1,120,MINIMAL,MEDIUM,False,False,1,False,1531,3,1,110.00000000000001,110.00000000000001,439.99999999999994,239.99999999999997,589.9999999999999,389.99999999999994,1200.0000000000002,989.9999999999998,2330.0,2099.9999999999995
1,120,MINIMAL,LARGE,False,False,1,False,1531,3,3,530.0,199.99999999999997,1950.0000000000005,1669.9999999999998,2590.0000000000005,2320.0,5380.0,5030.0,9990.000000000002,9989.999999999998
