EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,network_capacity_type,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,r1_bpsk_m,r2_bpsk_m,r1_qpsk_m,r2_qpsk_m,r1_16qam_m,r2_16qam_m,r1_64qam_m,r2_64qam_m
1,180,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,80.0,nan,560.0,110.0,810.0,250.0,1820.0,810.0,3650.0,1820.0
1,180,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,410.0,nan,2410.0,650.0,2110.0,960.0,4480.0,2260.0,8820.0,4650.0
1,180,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,890.0,220.0,6600.0,3430.0,9080.0,4800.0,9990.0,9990.0,9990.0,9990.0
1,190,MINIMAL,SMALL,False,False,1,False,1531,3,1,80.0,nan,430.0,120.0,590.0,270.0,1200.0,870.0,2280.0,1940.0
1,190,MINIMAL,MEDIUM,False,False,1,False,1531,3,3,430.0,10.0,2540.0,720.0,1380.0,1040.0,2810.0,2430.0,5450.0,4980.0
1,190,MINIMAL,LARGE,False,False,1,False,1531,3,3,840.0,320.0,4100.0,3680.0,5570.0,5130.0,9990.0,9990.0,9990.0,9990.0
1,190,CROSS_ROW,SMALL,False,False,1,False,1531,3,1,80.0,nan,420.0,110.0,580.0,260.0,1170.0,840.0,2260.0,1890.0
1,190,CROSS_ROW,MEDIUM,False,False,1,False,1531,3,2,430.0,nan,2540.0,650.0,1380.0,980.0,2810.0,2340.0,5450.0,4810.0
1,190,CROSS_ROW,LARGE,False,False,1,False,1531,3,3,840.0,140.0,4100.0,3550.0,5570.0,4990.0,9990.0,9990.0,9990.0,9990.0
1,190,ALL_CONNECT,SMALL,False,False,1,False,1531,4,1,80.0,nan,590.0,120.0,860.0,270.0,1920.0,850.0,3850.0,1920.0
1,190,ALL_CONNECT,MEDIUM,False,False,1,False,1531,4,3,430.0,nan,2540.0,690.0,2230.0,1010.0,4730.0,2390.0,9320.0,4910.0
1,190,ALL_CONNECT,LARGE,False,False,1,False,1531,4,4,940.0,240.0,6960.0,3620.0,9590.0,5070.0,9990.0,9990.0,9990.0,9990.0
1,200,MINIMAL,SMALL,False,False,1,False,1531,3,1,80.0,nan,460.0,130.0,620.0,290.0,1260.0,910.0,2400.0,2040.0
