EW_JAMMER_BW_AREA_SELECTION,LINK_LENGTH_METERS,relay_connectivity_config,capacity_requirement,logging_enabled,csv_output_enabled,EW_JAMMER_ACTUAL_BW_AREA,all_drones_passed_ew_x,final_step,num_initial_susceptible_links,num_disconnected_susceptible_links,r1_theoretical_m,r2_theoretical_m,rs1_theoretical_m,rs2_theoretical_m,ra1_theoretical_m,ra2_theoretical_m,r1_bpsk_m,r2_bpsk_m,rs1_bpsk_m,rs2_bpsk_m,ra1_bpsk_m,ra2_bpsk_m,r1_qpsk_m,r2_qpsk_m,rs1_qpsk_m,rs2_qpsk_m,ra1_qpsk_m,ra2_qpsk_m,r1_16qam_m,r2_16qam_m,rs1_16qam_m,rs2_16qam_m,ra1_16qam_m,ra2_16qam_m,r1_64qam_m,r2_64qam_m,rs1_64qam_m,rs2_64qam_m,ra1_64qam_m,ra2_64qam_m
1,100,MINIMAL,2842307,False,False,1,False,1531,3,3,329.99999999999994,90.00000000000001,330.0,250.0,90.0,90.0,1230.0,1010.0000000000001,1230.0,1190.0,1010.0,1010.0,1620.0,1420.0000000000002,1620.0,1600.0,1420.0,1420.0,3369.9999999999995,3120.0000000000005,3370.0,3300.0,3120.0,3120.0,6580.0,6230.000000000001,6580.0,6410.0,6230.0,6230.0
1,100,MINIMAL,2969230,False,False,1,False,1531,3,3,339.99999999999994,90.00000000000001,340.0,260.0,90.0,90.0,1249.9999999999998,1040.0000000000002,1250.0,1210.0,1040.0,1040.0,1659.9999999999998,1460.0000000000002,1660.0,1630.0,1460.0,1460.0,3449.999999999999,3200.000000000001,3450.0,3370.0,3200.0,3200.0,6719.999999999999,6370.000000000001,6720.0,6550.0,6370.0,6370.0
1,100,MINIMAL,3096153,False,False,1,False,1531,3,3,339.99999999999994,100.00000000000003,340.0,260.0,100.0,100.0,1280.0,1060.0000000000002,1280.0,1240.0,1060.0,1060.0,1699.9999999999995,1490.0000000000002,1700.0,1670.0,1490.0,1490.0,3519.9999999999995,3270.0000000000005,3520.0,3440.0,3270.0,3270.0,6869.999999999999,6510.000000000001,6870.0,6690.0,6510.0,6510.0
1,100,MINIMAL,3223076,False,False,1,False,1531,3,3,349.99999999999994,100.00000000000003,350.0,270.0,100.0,100.0,1309.9999999999998,1090.0000000000002,1310.0,1260.0,1090.0,1090.0,1729.9999999999998,1520.0000000000002,1730.0,1700.0,1520.0,1520.0,3589.999999999999,3340.0000000000005,3590.0,3510.0,3340.0,3340.0,7009.999999999999,6650.000000000002,7010.0,6820.0,6650.0,6650.0
1,100,MINIMAL,3350000,False,False,1,False,1531,3,3,359.99999999999994,110.00000000000001,360.0,270.0,110.0,110.0,1330.0,1110.0000000000002,1330.0,1290.0,1110.0,1110.0,1759.9999999999998,1550.0000000000002,1760.0,1730.0,1550.0,1550.0,3659.9999999999995,3400.000000000001,3660.0,3580.0,3400.0,3400.0,7139.999999999999,6780.000000000001,7140.0,6960.0,6780.0,6780.0
1,100,MINIMAL,3476923,False,False,1,False,1531,3,3,369.99999999999994,110.00000000000001,370.0,280.0,110.0,110.0,1359.9999999999998,1130.0000000000002,1360.0,1310.0,1130.0,1130.0,1799.9999999999995,1590.0000000000002,1800.0,1760.0,1590.0,1590.0,3729.9999999999995,3470.0000000000005,3730.0,3650.0,3470.0,3470.0,7279.999999999998,6910.000000000001,7280.0,7090.0,6910.0,6910.0
1,100,MINIMAL,3603846,False,False,1,False,1531,3,3,369.99999999999994,120.00000000000001,370.0,280.0,120.0,120.0,1379.9999999999998,1160.0000000000002,1380.0,1330.0,1160.0,1160.0,1829.9999999999998,1620.0000000000002,1830.0,1790.0,1620.0,1620.0,3799.999999999999,3540.0000000000005,3800.0,3710.0,3540.0,3540.0,7409.999999999999,7040.000000000001,7410.0,7220.0,7040.0,7040.0
1,100,MINIMAL,3730769,False,False,1,False,1531,3,3,379.99999999999994,120.00000000000001,380.0,290.0,120.0,120.0,1409.9999999999998,1180.0000000000002,1410.0,1360.0,1180.0,1180.0,1859.9999999999998,1650.0000000000005,1860.0,1830.0,1650.0,1650.0,3869.9999999999995,3600.000000000001,3870.0,3780.0,3600.0,3600.0,7539.999999999999,7160.000000000001,7540.0,7340.0,7160.0,7160.0
1,100,MINIMAL,3857692,False,False,1,False,1531,3,3,379.99999999999994,130.00000000000003,380.0,290.0,130.0,130.0,1429.9999999999998,1200.0000000000002,1430.0,1380.0,1200.0,1200.0,1889.9999999999998,1680.0,1890.0,1860.0,1680.0,1680.0,3929.9999999999995,3660.000000000001,3930.0,3840.0,3660.0,3660.0,7669.999999999999,7290.000000000001,7670.0,7470.0,7290.0,7290.0
1,100,MINIMAL,3984615,False,False,1,False,1531,3,3,389.99999999999994,130.00000000000003,390.0,300.0,130.0,130.0,1449.9999999999998,1220.0,1450.0,1400.0,1220.0,1220.0,1919.9999999999995,1710.0000000000002,1920.0,1890.0,1710.0,1710.0,3999.999999999999,3730.0000000000005,4000.0,3900.0,3730.0,3730.0,7799.999999999998,7410.000000000001,7800.0,7590.0,7410.0,7410.0
