Parameter,Value
network_capacity_type,MEDIUM
LINK_LENGTH_METERS,25.0
relay_connectivity_config,MINIMAL
ew_location,"(1050.0, 0.0)"
ew_strength_factor,100000.0
BANDWIDTH_MHZ_RANGE,"(400, 1200)"
EW_JAMMER_BW_AREA_SELECTION,random
start_point,"(0.0, 0.0)"
end_point,"(1000.0, 0.0)"
step_size_m,10.0
max_steps,200
logging_enabled,True
csv_output_enabled,True
csv_filename,swarm_simulation_log_v3.csv
EW_JAMMER_ACTUAL_BW_AREA,4

step,leader_pos_x,leader_pos_y,connected_drones_count,edge_u,edge_v,is_active,current_capacity,required_safety_capacity,bw_area,is_ew_susceptible,ew_effect
25,250.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
25,250.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
25,250.0,0.0,10,R2,S4,True,834848.6417353698,500000.0,4,True,0.16515135826463018
25,250.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
25,250.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
25,250.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
25,250.0,0.0,10,R4,A4,True,852302.4579373401,500000.0,4,True,0.1476975420626598
26,260.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
26,260.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
26,260.0,0.0,10,M1,R3,False,0.0,1000000.0,4,True,1.0
26,260.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
26,260.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
26,260.0,0.0,10,R1,S2,True,1000000.0,500000.0,3,False,0.0
26,260.0,0.0,10,R2,S3,True,1000000.0,500000.0,1,False,0.0
26,260.0,0.0,10,R2,S4,True,830523.5194789876,500000.0,4,True,0.16947648052101247
26,260.0,0.0,10,R3,A1,True,1000000.0,500000.0,2,False,0.0
26,260.0,0.0,10,R3,A2,True,1000000.0,500000.0,3,False,0.0
26,260.0,0.0,10,R4,A3,True,1000000.0,500000.0,1,False,0.0
26,260.0,0.0,10,R4,A4,True,848648.1534683246,500000.0,4,True,0.15135184653167547
27,270.0,0.0,10,M1,R1,True,1000000.0,1000000.0,1,False,0.0
27,270.0,0.0,10,M1,R2,True,1000000.0,1000000.0,2,False,0.0
27,270.0,0.0,10,M1,R3,False,0.0,1000000.0,4,True,1.0
27,270.0,0.0,10,M1,R4,True,1000000.0,1000000.0,3,False,0.0
27,270.0,0.0,10,R1,S1,True,1000000.0,500000.0,2,False,0.0
